mibig_accession,compounds,accession
BGC0001607,gilvusmycin,NZ_JOJM01000053.1
BGC0001608,glidopeptin,CP011371.1
BGC0001609,gliovirin,ABDF02000047.1
BGC0001610,gougerotin,KY089035.1
BGC0001611,guangnanmycin,MF925481.1
BGC0001612,ambiguine H isonitrile,KX451322.1
BGC0001613,harzianum B,MF504019.1
BGC0001614,hassallidin E,LT546031.1
BGC0001615,hexose-palythine-serine|hexose-shinorine,KX021865.1
BGC0001616,himeic acid A,LC331673.1
BGC0001617,hirsutene,NW_006763134.1
BGC0001618,hyicin 3682,KY021154.1
BGC0001619,ibomycin,KJ159185.1
BGC0001620,ilamycin B1|ilamycin B2|ilamycin C1|ilamycin C2|ilamycin D|ilamycin E1,KY173348.1
BGC0001621,imizoquin A|imizoquin B|imizoquin C|imizoquin D|TMC-2A|TMC-2B,NW_002477244.1
BGC0001622,isatropolone A|isotropolone B|isotropolone C,KX891214.1
BGC0001623,ishigamide,LC269948.1
BGC0001624,iso-A82775C,KU963195.1
BGC0001625,isofuranonaphthoquinone,KX358898.1
BGC0001626,isoindolinone,KL659535.1
BGC0001627,isonitrile lipopeptides,AL123456.3
BGC0001628,JBIR-78|JBIR-95,LC217607.1
BGC0001629,jessenipeptin,MT505440.1
BGC0001630,kasumigamide,LC160290.1
BGC0001631,kasumigamide,LC160291.1
BGC0001632,kawaguchipeptin A,JXYX01000010.1
BGC0001633,ketomemicin B3|ketomemicin B4,AORZ01000018.1
BGC0001634,keywimysin,NZ_JOHD01000003.1
BGC0001635,kistamicin A,CP017717.1
BGC0001636,KK-1,LC371755.1
BGC0001637,kleboxymycin,MF401554.1
BGC0001638,klebsazolicin,LN681175.1
BGC0001639,klebsidin,NGTK01000002.1
BGC0001640,kocurin,MF620092.1
BGC0001641,kolossin,NC_005126.1
BGC0001642,koraiol,HF679030.1
BGC0001643,lactomycins A-C,LC365285.1
BGC0001644,lacunalide A|lacunalide B,CP007142.1
BGC0001645,lagmysin,NZ_KL591029.1
BGC0001646,lagriamide,MH171092.1
BGC0001647,lagunapyrone A|lagunapyrone B|lagunapyrone C,LZNS01000001.1
BGC0001648,lasalocid,KT591188.1
BGC0001649,lavendiol,LC330869.1
BGC0001650,Le-pyrrolopyrazines,MF495862.1
BGC0001651,legionaminic acid,CP003191.1
BGC0001652,limazepine C|limazepine D|limazepine E|limazepine F|limazepine A,KT381463.1
BGC0001653,linfuranone B|linfuranone C,NZ_BCBX01000035.1
BGC0001654,lipooligosaccharide,AE015928.1
BGC0001655,LP2006,NZ_ANAC01000010.1
BGC0001656,luminaolide,KR857272.1
BGC0001657,lysocin,LC128664.1
BGC0001658,macrotermycins,LWSF01000005.1
BGC0001659,mangicol A,KU376508.1
BGC0001660,mathermycin,KY938841.1
BGC0001661,mayamycin,MG601230.1
BGC0001662,mediomycin A,MF139773.1
BGC0001663,merocyclophane C|merocyclophane D,KY379971.1
BGC0001664,merosterol,KY464182.1
BGC0001665,methylated alkyl-resorcinol|methylated acyl-phloroglucinol,CP000854.1
BGC0001666,microansamycin,MG018799.1
BGC0001667,microcystin-LR|microcystin-FR|microcystin-LA|microcystin-LAba|microcystin-LM|microcystin-LV|microcystin-LL,KX891213.1
BGC0001668,microperfuranone,BN001306.1
BGC0001669,microvionin,MG673929.1
BGC0001670,monensin,KX263301.1
BGC0001671,monobactam,KY452017.1
BGC0001672,monobactam,KY502195.1
BGC0001673,moomysin,NC_017586.1
BGC0001674,MS-271,FONR01000003.1
BGC0001675,murayaquinone,KX817190.1
BGC0001676,mycemycin A|mycemycin B|mycemycin C|mycemycin D|mycemycin E,MG837053.1
BGC0001677,mycophenolic acid,KU234530.1
BGC0001678,mycosporine-like amino acids (MAAs),BGNK01000303.1
BGC0001679,N-Acetyltryptophan,BN001303.1
BGC0001680,N-acyl alanine,AFOF01000007.1
BGC0001681,N-acyl glycine,FQ312004.1
BGC0001682,N-acyl lysine/ornithine,FM209186.1
BGC0001683,N-acyl serinol,ACWD01000051.1
BGC0001684,N-acyloxyacyl glutamine,CP000964.1
BGC0001685,N-acyloxyacyl lysine,AGDM01000017.1
BGC0001686,N-octanoyl-Met-Phe-H,FR902169.1
BGC0001687,N-tetradecanoyl tyrosine,JF429409.1
BGC0001688,N-tetradecanoyl tyrosine,JF429413.1
BGC0001689,naphthgeranine A,MF589902.1
BGC0001690,natamycin,KX458106.1
BGC0001691,nectrisine,LC150594.1
BGC0001692,nematophin,NC_014228.1
BGC0001693,nenestatin,KY454837.1
BGC0001694,neoabyssomicin|abyssomicin,MG243704.1
BGC0001695,neoantimycin,MH128122.1
BGC0001696,neothioviridamide,LC310987.1
BGC0001697,neurosporin A,CM002236.1
BGC0001698,nevaltophin A|nevaltophin B|nevaltophin C|nevaltophin D,KR871223.1
BGC0001699,nidulanin A,BN001308.1
BGC0001700,niphimycins C-E,MF671979.1
BGC0001701,nisin O,KY914474.1
BGC0001702,nocamycin,KY287782.1
BGC0001703,nocuolin A,KP143720.1
BGC0001704,nocuolin A,KY594676.1
BGC0001705,nodularin,MF668122.1
BGC0001706,nodulisporic acid F,MG182145.1
BGC0001707,nosiheptide,KX173290.1
BGC0001708,novofumigatonin,MSZS01000014.1
BGC0001709,nystatin,MG742725.1
BGC0001710,obafluorin,KX931446.1
BGC0001711,occidiofungin A,JPWP01000009.1
BGC0001712,ochrindole A,MSFO01000007.1
BGC0001713,ochrobactin,JYFX01000060.1
BGC0001714,octacosamicin,NZ_ANMG01000009.1
BGC0001715,octapeptin C4,LN999013.1
BGC0001716,odilorhabdin NOSO-95A|odilorhabdin NOSO-95B|odilorhabdin NOSO-95C,LN681227.1
BGC0001717,okaramine B,LC316945.1
BGC0001718,okaramine D,NW_017962980.1
BGC0001719,olimycin A|olimycin B,MN901947.1
BGC0001720,oosporein,JH725181.1
BGC0001721,ornibactin,KY523076.1
BGC0001722,aspernidine A,BN001306.1
BGC0001723,oviedomycin,KY129858.1
BGC0001724,oxaleimide C,KB644411.1
BGC0001725,oxetanocin A,AB005787.1
BGC0001726,pactamides,KU569222.1
BGC0001727,paenilan,CP000154.2
BGC0001728,paenilipoheptin,NC_014483.2
BGC0001729,paraherquonin,LC127182.1
BGC0001730,paramagnetoquinone 1|paramagnetoquinone 2,KX533975.1
BGC0001731,paulomycin,KJ721164.1
BGC0001732,paulomycin,KJ721165.1
BGC0001733,PcpA,NC_019689.1
BGC0001734,penilumamide,KY781198.1
BGC0001735,pentostatine|vidarabine,KJ856912.1
BGC0001736,pepteridine A|pepteridine B,BX470251.1
BGC0001737,phenalamide,KY646191.1
BGC0001738,phomasetin,LC361337.1
BGC0001739,phosphonoacetic Acid,NZ_JNXE01000019.1
BGC0001740,phthoxazolin,LC315614.1
BGC0001741,phyllostictine A|phyllostictine B,KY682688.1
BGC0001742,piericidin A1,KX098584.1
BGC0001743,plantaricyclin,NDXC01000075.1
BGC0001745,PlpA1|PlpA2|PlpA3,NZ_KB235920.1
BGC0001746,pristinol,NZ_CM000950.1
BGC0001747,pseudaminic acid,JUET01000030.1
BGC0001748,pseudospumigin A|pseudospumigin B|pseudospumigin C|pseudospumigin D|pseudospumigin E|pseudospumigin F,MF668123.1
BGC0001749,epipyriculol,CM001233.1
BGC0001750,pyrronazol B,MF817819.1
BGC0001751,pyxipyrrolone A|pyxipyrrolone B,KY765914.1
BGC0001752,qinichelins,LNBE01000003.1
BGC0001753,radamycin|globimycin,NZ_JNZK01000003.1
BGC0001754,ralsolamycin,AL646053.1
BGC0001755,reedsmycins,MG947597.1
BGC0001756,retigeranin|arathanatriene,CP002686.1
BGC0001757,rhabduscin,FN667742.1
BGC0001758,rhizomide A|rhizomide B|rhizomide C,NC_014718.1
BGC0001759,rifamorpholine A|rifamorpholine B|rifamorpholine C|rifamorpholine D|rifamorpholine E,MF773686.1
BGC0001760,rimosamide,NZ_ANSJ01000026.1
BGC0001761,ripostatin A|ripostatin B|ripostatin C,KY646190.1
BGC0001762,rubrolone A|rubrolone B,KX218108.1
BGC0001763,rufomycin,LC257593.1
BGC0001764,s56-p1,LC177423.1
BGC0001765,salecan,CP014259.1
BGC0001766,salinamide A,BK009377.1
BGC0001767,salinichelins,KB897466.1
BGC0001768,sansalvamide,NW_003315863.1
BGC0001769,saquayamycin A,KX356541.1
BGC0001770,sceliphrolactam,KX230849.1
BGC0001771,scleric acid,NZ_JOBC01000043.1
BGC0001772,scytophycin,KY767986.1
BGC0001773,selvamicin,CP013855.1
BGC0001774,spicamycin,MF372757.1
BGC0001775,sespendole,LC380446.1
BGC0001776,shearinine D,KF280651.1
BGC0001777,shearinine D,BK010418.1
BGC0001778,showdomycin,LAQS01000018.1
BGC0001779,siamycin,CP009313.1
BGC0001780,siphonazole,KX765816.1
BGC0001781,sphaericin,BDCX01000012.1
BGC0001782,spiroindimicin A|spiroindimicin B|spiroindimicin C|spiroindimicin D|indimicin A|indimicin B|indimicin C|indimicin D|indimicin E|lynamicin A|lynamicin D|lynamicin F|lynamicin G,KY750719.1
BGC0001783,streptonigrin,JQ414024.1
BGC0001784,streptoseomycin,MG891745.1
BGC0001785,streptovaricin,KY593296.1
BGC0001786,subterisin,JRVC01000028.1
BGC0001787,suicin 3908,KU867867.1
BGC0001788,suicin 65,KU867868.1
BGC0001789,suicin 90-1330,KU867866.1
BGC0001790,sulfazecin,KX757706.1
BGC0001791,sunshinamide,NZ_CP007142.1
BGC0001792,surugamide A|surugamide D,CP004370.1
BGC0001793,swainsonine,KY365740.1
BGC0001794,swainsonine,KY365741.1
BGC0001795,swinholide A,KY767987.1
BGC0001796,tauramamide,CP017705.1
BGC0001797,telomestatin,LC318724.1
BGC0001798,tetrapetalone A|tetrapetalone B|tetrapetalone C|tetrapetalone D,MG603754.1
BGC0001799,thebaine,MH011344.1
BGC0001800,theonellamide,MG844357.1
BGC0001801,thiazostatin|watasemycin A|watasemycin B|2-hydroxyphenylthiazoline enantiopyochelin|isopyochelin,FR845719.1
BGC0001802,thioholgamide A|thioholgamide B,MF593843.1
BGC0001803,thioviridamide,AB819757.1
BGC0001804,tiancimycin,KT716443.1
BGC0001805,tilivalline,HG425356.1
BGC0001806,tolaasin A,KX432141.1
BGC0001807,totopotensamide A|totopotensamide B,MG012231.1
BGC0001808,toyocamycin,KY022432.1
BGC0001809,trans-aconitic acid,NC_017203.1
BGC0001810,trehangelin,LC144914.1
BGC0001811,trichodiene-11-one,LC222739.1
BGC0001812,tylactone,MF033535.1
BGC0001813,tyrobetaine,NZ_JOCH01000080.1
BGC0001814,ulleungmycin,MF541667.1
BGC0001815,uncialamycin,KT762610.1
BGC0001816,valactamide A,KX449366.1
BGC0001817,vancosamine,KJ159186.1
BGC0001818,vazabitide A,LC072720.1
BGC0001819,venemycin,NZ_CP018074.1
BGC0001820,verticillin,KY359203.1
BGC0001821,verticillins,KY359203.1
BGC0001822,vioprolide A|vioprolide B|vioprolide C|vioprolide D,MH108942.1
BGC0001823,weishanmycin,MF925482.1
BGC0001824,xefoampeptides A-G,MUBK01000010.1
BGC0001825,xenematide,LN681227.1
BGC0001826,xeneprotides A-C,NZ_NJCW01000032.1
BGC0001827,xenovulene A,MG736817.1
BGC0001828,griseochelin,KT345957.1
BGC0001829,"α,β-epoxyketone",LN999909.1
BGC0001830,rosamicin|salinipyrone A|pacificanone A,KP997155.1
BGC0001831,alkylpyrone-407|alkylpyrone-393,CP000113.1
BGC0001832,dimethylsulfoniopropionate,NZ_AORZ01000049.1
BGC0001833,icosalide A|icosalide B,MH790860.1
BGC0001834,argyrin,MK047651.1
BGC0001835,gynuellalide,BK010667.1
BGC0001836,tartrolon D|tartrolon F|tartrolon G,BK010667.1
BGC0001837,leptolyngbyalide,BK010645.1
BGC0001838,WLIP,JN982333.1
BGC0001839,squalestatin S1,LDZW01000177.1
BGC0001840,detoxin S1,BK010707.1
BGC0001841,detoxin P1|detoxin P2|detoxin P3,BK010851.1
BGC0001842,gacamide A,CP000094.2
BGC0001843,tridecaptin M,CP034141.1
BGC0001844,holrhizin,NC_014718.1
BGC0001845,alpiniamide,RCOL01000001.1
BGC0001846,valinomycin|montanastatin,RCOL01000001.1
BGC0001847,1-carbapen-2-em-3-carboxylic acid,U17224.2
BGC0001848,diazaquinomycin H|diazaquinomycin J,CP030865.1
BGC0001849,thiovarsolin A|thiovarsolin B|thiovarsolin C|thiovarsolin D,JOBF01000011.1
BGC0001850,diazaquinomycin A|diazaquinomycin E|diazaquinomycin F|diazaquinomycin G,QZWF01000007.1
BGC0001851,komodoquinone B,NZ_JNZG01000006.1
BGC0001852,komodoquinone B,NZ_JOBX01000002.1
BGC0001853,largimiycin 38|largimycin 39,LR131959.1
BGC0001854,tricholignan A,JOKZ01000220.1
BGC0001855,cuniculene 6A|cuniculene 6B,UYXD01000003.1
BGC0001856,caniferolide A|caniferolide B|caniferolide C|caniferolide D,MK303577.1
BGC0001857,burnettramic acid A,MK425157.1
BGC0001858,alternapyrone B|alternapyrone C|alternapyrone D|alternapyrone E|alternapyrone F,CH445332.1
BGC0001859,fosfomycin,JX102649.1
BGC0001860,thiomuracin,CP001874.1
BGC0001861,bacillicin BAG2O,KB976528.1
BGC0001862,pallidocin,NZ_LVHY01000134.1
BGC0001863,bacillicn CER074,NZ_JH791994.1
BGC0001864,listeriocytocin,NC_018586.1
BGC0001865,elsinochrome C,NW_001884561.1
BGC0001866,viriditoxin,NW_021167153.1
BGC0001867,prochlorosins,BX548175.1
BGC0001868,iodinin,NIBV01000002.1
BGC0001869,griseoluteic acid|demethoxygriseoluteic acid|phenaszentine A|phenaszentine C|phenaszenketide C|phenaszenketide D,NIBV01000002.1
BGC0001870,putrebactin|avaroferrin,NIBS01000001.1
BGC0001871,L-2-amino-4-methoxy-trans-3-butenoic acid,AE004091.2
BGC0001872,fabclavine-polyamine,FN667741.1
BGC0001873,pyrrolizixenamide A,NZ_NIBV01000002.1
BGC0001874,cyclopiazonic acid,JN712211.1
BGC0001875,nargenicin A1,MN095516.1
BGC0001876,thalassospiramide A,KC181864.1
BGC0001877,cyphomycin,VOQD01000001.1
BGC0001878,detoxin N2|detoxin N3,BK010852.1
BGC0001879,type R and F tailocins,JTGH01000018.1
BGC0001880,scytodecamide,MN265868.1
BGC0001881,pyrichalasin H,MK801691.1
BGC0001882,chrysoxanthone A|chrysoxanthone B|chrysoxanthone C,AM920431.1
BGC0001883,porphyra-334,BGNK01000303.1
BGC0001884,aranazole A|aranazole B|aranazole C|aranazole D,BK010684.1
BGC0001885,oxazolepoxidomycin A,BK010686.1
BGC0001886,secalonic acids,CAGA01000032.1
BGC0001887,huazacin,CM000756.1
BGC0001888,mannosylerythritol lipid A|mannosylerythritol lipid B|mannosylerythritol lipid C,CM003146.1
BGC0001889,fusilassin,CP000088.1
BGC0001890,amphi-enterobactin 1|amphi-enterobactin 2|amphi-enterobactin 3|amphi-enterobactin 4,CP000789.1
BGC0001891,closthioamide,CP001348.1
BGC0001892,botcinic acid,CP009805.1
BGC0001893,abscisic acid,CP009812.1
BGC0001894,heteropolysaccharide (HePS),CP021932.1
BGC0001895,huanglongmycin A|huanglongmycin B|huanglongmycin C,CP026730.1
BGC0001896,carbazomycin B,CP034587.1
BGC0001897,cepacin A,ABLC01000003.1
BGC0001898,thioplatensimycin|thioplatencin,FJ655920.1
BGC0001899,abscisic acid,FP929136.1
BGC0001900,fragin,HG938371.2
BGC0001901,tricholignan A,JOKZ01000220.1
BGC0001902,bengamide,KP143770.1
BGC0001903,neocarazostatin A,KP657980.1
BGC0001904,fluostatin,KT726162.1
BGC0001905,violapyrone B,KU534995.1
BGC0001906,naphthalene,KV884627.1
BGC0001907,chromane,KV884643.1
BGC0001908,sceliphrolactam,KX230849.1
BGC0001909,strobilurin A,KY070339.1
BGC0001910,cyslabdan,LC064028.1
BGC0001911,raimonol,LC064029.1
BGC0001912,"(2S,6R)-diamino-(5R,7)-dihydroxy-heptanoic acid",LC072720.1
BGC0001913,phomoidride,LC086931.1
BGC0001914,benzastatin J|7-hydroxyl benzastatin B|7-hydroxyl O-demethylbenzastatin A|JBIR-67|7-hydroxyl benzastatin F|7-hydroxyl O-demethylbenzastatin D|O-demethylvirantmycin|7-hydroxyl benzastatin D|virantmycin|benzastatin K|methylbenzastatin K,LC177364.1
BGC0001915,betaestacin I|betaestacin II,LC274619.1
BGC0001916,lavendiol,LC330869.1
BGC0001917,"5-alkyl-1,2,3,4-tetrahydroquinolines|streptoaminals",LC349994.1
BGC0001918,JBIR-06,LC375135.1
BGC0001919,neoantimycin,LC375136.1
BGC0001920,siamycin I,LC381634.1
BGC0001921,MS-271,LC381634.1
BGC0001922,isoindolinomycin,LC386909.1
BGC0001923,ascochlorin,LC406756.1
BGC0001924,ascofuranone,LC406757.1
BGC0001925,altemicidin|SB-203207|SB-203208,LC420052.1
BGC0001926,chrodrimanin B,LC422696.1
BGC0001927,A-94964,LC431526.1
BGC0001928,"(2R,3S,4S)-5-fluoro-2,3,4-trihydroxypentanoic acid",LN612605.1
BGC0001929,WGK,LS483343.1
BGC0001930,pallidocin,NZ_LVHY01000134.1
BGC0001931,carrimycin,LY609824.1
BGC0001932,mediomiycin A,MF139773.1
BGC0001933,sphaerocyclamide,MF140698.1
BGC0001934,armeniaspirols,MF401191.1
BGC0001935,"3,7-dihydroxytropolone",MF955860.1
BGC0001936,nodulisporic acid F,MG182145.1
BGC0001937,tubercidin,MG706975.1
BGC0001938,entotheonella,MG844359.1
BGC0001939,streptoseomycin,MG891745.1
BGC0001940,pyxidicycline A|pyxidicycline B,MH048639.1
BGC0001941,fulvuthiacene A|fulvuthiacene B,MH069655.1
BGC0001942,malonomycin,MH104947.1
BGC0001943,vioprolides A|vioprolides B|vioprolides C|vioprolides D,MH108942.1
BGC0001944,funisamine,MH128143.1
BGC0001945,chloromyxamide,MH168382.1
BGC0001946,lagriamide,MH171092.1
BGC0001947,K53 capsular polysaccharide,MH190222.1
BGC0001948,naseseazine C|C3-aryl pyrroloindolines,MH201515.1
BGC0001949,domoic acid,MH202990.1
BGC0001950,puwainaphycin F|minutissamide A,MH325197.1
BGC0001951,puwainaphycin F|minutissamide A,MH325198.1
BGC0001952,minutissamide A|minutissamide C|minutissamide D,MH325199.1
BGC0001953,puwainaphycin F|minutissamide A|minutissamide B|minutissamide C|minutissamide D,MH325200.1
BGC0001954,wortmanamide A|wortmanamide B,MH399766.1
BGC0001955,keratinimicin A|keratinimicin B|keratinimicin C|keratinimicin D,MH428036.1
BGC0001956,miharamycin A|miharamycin B,MH534948.1
BGC0001957,amipurimycin,MH534949.1
BGC0001958,amipurimycin,MH534949.1
BGC0001959,taylorflavin A|taylorflavin B,MH743142.1
BGC0001960,hiroshidine,MH743143.1
BGC0001961,ashimides,MH752201.1
BGC0001962,hierridin B|hierridin C,MH824152.1
BGC0001963,catenulisporolides,MH844630.1
BGC0001964,alkylpyrone-407|alkylpyrone-393,MH908886.1
BGC0001965,nybomycin,MH924838.1
BGC0001966,BII-rafflesfungin,MK043052.1
BGC0001967,acyldepsipeptide 1,MK047367.1
BGC0001968,cadaside A|cadaside B,MK060022.1
BGC0001969,asperterpenoid A,MK140602.1
BGC0001970,malyngamide C acetate,MK142792.1
BGC0001971,malyngamide I,MK142793.1
BGC0001972,toxoflavin|fervenulin,MK256951.1
BGC0001973,fervenulin,MK256951.1
BGC0001974,kainic acid,MK312630.1
BGC0001975,atratumycin,MK370905.1
BGC0001976,eupenifeldin,MK400120.1
BGC0001977,eupenifeldin,MK400120.1
BGC0001978,burnettramic acid,MK425157.1
BGC0001979,LL-D49194α1 (LLD),MK501817.1
BGC0001980,lokisin,MK534107.1
BGC0001982,pyrichalasin H,MK801691.1
BGC0001983,triacsin C,MK932017.1
BGC0001984,sarpeptin A|sarpeptin B,MN068049.1
BGC0001985,pyrazofurin,MN305320.1
BGC0001986,purincyclamide,MN190176.1
BGC0001987,koreenceine A|koreenceine B|koreenceine C|koreenceine D,MPLD01000001.1
BGC0001988,neosartorin,MSZS01000005.1
BGC0001989,pulcherrimin,NC_006039.1
BGC0001990,BU-4704|xanthocillin-X monomethylether|melanocin E|melanocin F|fumiformamide,NC_007198.1
BGC0001991,toblerol A|toblerol B|toblerol C|toblerol D|toblerol E|toblerol F|toblerol G|toblerol H,NC_012811.1
BGC0001992,thioguanine,NC_013971.1
BGC0001993,paenilipoheptin,NC_014483.2
BGC0001994,β-ethynylserine,NC_016113.1
BGC0001995,heptelidic acid,NC_036441.1
BGC0001996,oryzine A|oryzine B,NC_036442.1
BGC0001997,capsidiol,NCAA01001461.1
BGC0001998,aspernidgulene A1|aspernidgulene A2|aspernidgulene B1,NT_107014.1
BGC0001999,gramibactin,NZ_ABLD01000016.1
BGC0002000,setomimycin,NZ_AOPZ01000074.1
BGC0002001,crochelin A,NZ_CP010415.1
BGC0002002,"1,6-phenazinedimethanol|fontizine A",NZ_CP011254.1
BGC0002003,glidopeptin A,NZ_CP011371.1
BGC0002004,methanobactin,NZ_CP023737.1
BGC0002005,RaxX,NZ_CP031462.1
BGC0002006,albusnodin,NZ_CP033071.1
BGC0002007,atolypene A|atolypene B,NZ_FNSO01000004.1
BGC0002008,aryl polyenes,NZ_FO704550.1
BGC0002009,kanglemycin A|kanglemycin V1|kanglemycin V2,NZ_JNYY01000005.1
BGC0002010,streptophenazine B|streptophenazine C|streptophenazine F|streptophenazine G|streptophenazine H,NZ_KB899004.1
BGC0002011,ansacarbamitocin A,NZ_KB913032.1
BGC0002012,julichrome Q3-3|julichrome Q3-5,NZ_KE354310.1
BGC0002013,curacozole,NZ_KQ947987.1
BGC0002014,pepticinnamin E,NZ_LJCU01000236.1
BGC0002015,aborycin,NZ_MKCP01000039.1
BGC0002016,lugdunomycin,PTJS01000001.1
BGC0002017,potensibactin,ANBB01000074.1
BGC0002018,azomycin,NC_016111.1
BGC0002019,tiancilactone A|tiancilactone B|tiancilactone C|tiancilactone D|tiancilactone E|tiancilactone F|tiancilactone G|tiancilactone H,BK010469.1
BGC0002020,photolose,BX470251.1
BGC0002021,fogacin|fogacin B|fogacin C,AP012319.1
BGC0002022,armeniaspirol A|armeniaspirol B|armeniaspirol C,MK321256.1
BGC0002023,saalfelduracin,NZ_FOEF01000002.1
BGC0002024,nargenicin,MH544245.1
BGC0002025,thaxteramide C,MK551161.1
BGC0002026,thaxteramide A1|thaxteramide A2|thaxteramide B1|thaxteramide B2,MK551162.1
BGC0002027,TglA-thiaGlu,AEAK01000424.1
BGC0002028,frigocyclinone,MK240316.1
BGC0002029,bagremycin A|bagremycin B|bagremycin C|bagremycin E|bagremycin F|bagremycin G|ferroverdin A|ferroverdin B|ferroverdin C,MG708299.1
BGC0002030,viriditoxin,RCNU01000014.1
BGC0002031,kitasetaline,AP010968.1
BGC0002032,pentamycin,QQVZ01000001.1
BGC0002033,spiramycin,NZ_CP012382.1
BGC0002034,perquinoline A|perquinoline B|perquinoline C,SGBF01000041.1
BGC0002035,ilicicolin H|ilicicolin J|8-epi-ilicicolin H,RQWH01000002.1
BGC0002036,dehydrofosmidomycin,JNXL01000002.1
BGC0002037,azetidomonamide A|azetidomonamide B,AE004091.2
BGC0002038,nigericin,VCNB01000001.1
BGC0002039,coformycin|formycin A,KY682079.1
BGC0002040,coformycin|formycin A,KY705052.1
BGC0002041,pyrazofurin A,MH493900.1
BGC0002042,anthelvencin A|anthelvencin B|anthelvencin C,MK483114.1
BGC0002043,cittilin A|cittilin B,MN731368.1
BGC0002044,empedopeptin,CP030092.1
BGC0002045,persiamycin A,VTZW01000009.1
BGC0002046,lobatamide A,CP007142.1
BGC0002047,brasiliquinone A|brasiliquinone B,MT023106.1
BGC0002048,endopyrrole B|endopyrrole A,FR687359.1
BGC0002049,microviridin N9|microviridin N8|microviridin N7|microviridin N6|microviridin N5|microviridin N4|microviridin N3,NC_010628.1
BGC0002050,necroxime A|necroxime B|necroxime C|necroxime D,MN734804.1
BGC0002051,antipain,MT149901.1
BGC0002052,ectoine,MT149902.1
BGC0002053,ulleungdin,MT149903.1
BGC0002054,amipurimycin,MK257770.1
BGC0002055,mycalamide A,JAAHTG010000029.1
BGC0002056,peloruside A,JAAHTH010000242.1
BGC0002057,pateamine,BK012115.1
BGC0002058,mutanocyclin,NZ_ALYY01000026.1
BGC0002059,spliceostatin L|spliceostatin M,BK010647.1
BGC0002060,secimide,CP000075.1
BGC0002061,nostopeptolide A1|nostopeptolide 1052,NC_010628.1
BGC0002062,agnestin A|agnestin B,MH898872.1
BGC0002063,cryptosporioptide B|cryptosporioptide A|cryptosporioptide C,MK182094.1
BGC0002064,felipeptin A2|felipeptin A1,CP045480.1
BGC0002065,strobilurin A,KY070339.1
BGC0002066,harzianopyridone,JOKZ01000072.1
BGC0002067,atpenin B,KB644415.1
BGC0002068,labrenzin,CP041191.1
BGC0002069,styrolide A|styrolide B,VCNJ01000015.1
BGC0002070,SEK90|pentangumycin,HE804045.1
BGC0002071,virginiafactin A|virginiafactin B|virginiafactin C|virginiafactin D,NZ_PHSU01000004.1
BGC0002072,linearmycin A|linearmycin B|linearmycin C|linearmycin C,CP011664.1
BGC0002073,dehydroxynocardamine,RBMD01000006.1
BGC0002074,huascopeptin,MK636692.1
BGC0002075,pyreudione A|pyreudione B|pyreudione C|pyreudione D|pyreudione E,NZ_LVEJ01000014.1
BGC0002076,"4,5-didehydroacaterin|acaterin",VDDB01000004.1
BGC0002078,omnipeptin,MN161665.1
BGC0002079,omnipeptin,MN161666.1
BGC0002080,stieleriacine A1|stieleriacine A2|stieleriacine B1|stieleriacine B2|stieleriacine C,CP036264.1
BGC0002081,streptoketide A|streptoketide B|streptoketide C|S2502|S2507|UWM5,MK424349.1
BGC0002082,sesbanimide C|sesbanimide F|sesbanimide E,CP046908.1
BGC0002083,gladiofungin A|gladiofungin B,WITE01000004.1
BGC0002084,biarylitide YYH|biarylitide YFH,MW201788.1
BGC0002085,everninomicin D|everninomicin E|everninomicin G|everninomicin F,CP058322.1
BGC0002086,rosamicin,CP058322.1
BGC0002087,gladiostatin A,NZ_UZVS01000001.1
BGC0002088,everninomicin A,CP058905.1
BGC0002089,thaxtomin D|thaxtomin A|thaxtomin C|thaxtomin B,FN554889.1
BGC0002090,undecylprodigiosin|metacycloprodigiosin,JACERG010000004.1
BGC0002091,holomycin,ACCC01000028.1
BGC0002092,stechlisin B2|stechlisin C3|stechlisin D3|tensin|stechlisin E2|stechlisin F,MT080808.1
BGC0002093,ilicicolin H,MK539848.1
BGC0002094,B-ethynylserine,FQ859184.1
BGC0002095,leupeptin Pr|leupeptin Ac,LFML01000163.1
BGC0002096,tetrachlorizine,SKBR01000004.1
BGC0002097,kosinostatin,CP059322.1
BGC0002098,ECO-0501,CP003410.1
BGC0002099,biarylite-YFH,MW201789.1
BGC0002100,colibrimycin,KZ819182.1
BGC0002101,heronamide C|heronamide A|heronamide B,LT548273.1
BGC0002102,pladienolide B,MN974405.1
BGC0002103,pulcherriminic acid,NC_000964.3
BGC0002104,eurocidin D|eurocidin E,NZ_LGUI01000004.1
BGC0002105,lucensomycin,NZ_MSGP01000218.1
BGC0002106,rimocidin,NZ_JOBS01000013.1
BGC0002107,fabrubactin A|fabrubactin B,AE007870.2
BGC0002108,cinnapeptin,MT417183.1
BGC0002109,kitacinnamycin A|kitacinnamycin B|kitacinnamycin C|kitacinnamycin D|kitacinnamycin E|kitacinnamycin F,MK371213.1
BGC0002110,birimositide,MT037000.1
BGC0002111,andalusicin A|andalusicin B,CP035727.2
BGC0002113,beauvericin,JACTAS010000067.1
BGC0002114,sandarazol A|sandarazol C|sandarazol E|sandarazol G|sandarazol B|sandarazol D|sandarazol F,MW053453.1
BGC0002115,streptamidine,CP004370.1
BGC0002116,darobactin A,NZ_WHZZ01000001.1
